web-scraper-order,web-scraper-start-url,tweet-likes,tweet-rts,tweet-hashtags,tweet-timestamp,one-line
1542666066-92,https://twitter.com/BigDataSoc,10,11,#Facebook,1.53968E+12,Researchers using #socialmedia platforms as #DataMining source encounter practical dilemmas connected to the #temporalities embedded in the platforms @JGgnx & @sDCTYhttps://buff.ly/2zKaKvA #Facebook Community Pages & Activity Logs
1542666066-43,https://twitter.com/BigDataSoc,3,3,#BigData,1.5415E+12,Challenges in Big Data social media research from #feminist perspective: https://buff.ly/2qrgKUD #WhyIStayed #domesticviolence #socialmedia #BigData @ProfCooky @jlinabary @DanielleCorple
1542666066-10,https://twitter.com/BigDataSoc,3,7,#DataAnalytics,1.54236E+12,Petter and Anton Törnberg discuss the limits of computation in their new research paper by giving a philosophical critique of contemporary Big Data research: https://buff.ly/2ThqTAo @pettertornberg #BigData #DataAnalytics #CSS #datadriven #epistemology
1542666066-81,https://twitter.com/BigDataSoc,5,6,,1.5402E+12,Check out our special issue featuring Metcalf & Crawford's discussion of an emerging ethics divide:https://buff.ly/2m17Yu7
1542666066-68,https://twitter.com/BigDataSoc,12,7,#BigData,1.54054E+12,Check out the empirical analysis on ‘technological frames’ by Anders Koed Madsen illustrating different ways of making sense of data and the #SmartCity https://buff.ly/2PhoR0A #BigData @Anderskoed1
1542666066-45,https://twitter.com/BigDataSoc,1,,#ArtificialIntelligence,1.54141E+12,Listening without ears: Artificial intelligence in audio mastering - New paper by @tbirtchnell https://buff.ly/2QkgwKc  #ArtificialIntelligence #ML #Audio #music #Algorithms
1542666066-102,https://twitter.com/BigDataSoc,2,1,#Empowerment,1.53934E+12,"""they persist in collecting #data and designing #media to advocate, and we continue to accompany them in this process"" https://buff.ly/2D1xivh  Amanda Meng & Carl DiSalvo @GeorgiaTech #community #activism #design #Empowerment"
1542666066-115,https://twitter.com/BigDataSoc,7,8,,1.53873E+12,"DATA POWER: Global in/securities - 3rd international conference, Sep 12-13, 2019, Bremen, Germany. Call for papers for a Special Theme proposal to @BigDataSoc - deadline Jan 31st 2019.https://buff.ly/2xZUSnr  @Andreas_Hepp @ZeMKI_Bremen @UniBremen"
1542666066-118,https://twitter.com/BigDataSoc,6,4,,1.53864E+12,"In political peripheries, the dangers of being watched aren't tied to concerns over privacy, but survival & death:https://buff.ly/2Oz9RKL"
1542666066-165,https://twitter.com/BigDataSoc,4,2,,1.53562E+12,"Liberal luxury: Decentering Snowden, surveillance and privilege - an early career researcher essay by Piro Rexhepi:https://buff.ly/2Oz9RKL"
1542666066-75,https://twitter.com/BigDataSoc,2,2,#platforms,1.54031E+12,"A step forward to creating a space for dialogue between researchers using social media data and/or platforms ""with the aim to share individual tactics and learn from the collectively"": https://buff.ly/2zKaKvA #Facebook #socialmedia #research #platforms #temporalities"
